Latitude,Longitude,Cost
56.709846,-111.35407,2
56.71193491,-111.3567201,3
56.71402381,-111.3593701,5
56.71611272,-111.3620202,4
56.71820163,-111.3646702,6
56.72029053,-111.3673203,9
56.71130526,-111.3502765,7.4
56.71339417,-111.3529266,9.1
56.71548308,-111.3555766,10
56.71757198,-111.3582267,2
56.71966089,-111.3608767,3
56.7217498,-111.3635268,5
56.71276453,-111.346483,4
56.71485343,-111.349133,6
56.71694234,-111.3517831,9
56.71903125,-111.3544332,7.4
56.72112015,-111.3570832,9.1
56.72320906,-111.3597333,10
56.71422379,-111.3426895,2
56.7163127,-111.3453395,3
56.7184016,-111.3479896,5
56.72049051,-111.3506397,4
56.72257942,-111.3532897,6
56.72466832,-111.3559398,9
56.71568305,-111.338896,7.4
56.71777196,-111.341546,9.1
56.71986086,-111.3441961,10
56.72194977,-111.3468461,2
56.72403868,-111.3494962,3
56.72612759,-111.3521463,5
56.71714231,-111.3351025,4
56.71923122,-111.3377525,6
56.72132013,-111.3404026,9
56.72340903,-111.3430526,7.4
56.72549794,-111.3457027,9.1
56.72758685,-111.3483528,10
