Latitude_left,Longitude_left,Cost_left,Latitude_right,Longitude_right,Cost_right
56.7125487,-111.3262666,6,56.7071433,-111.3262706,19
56.71223019,-111.3256886,2,56.70682478,-111.3256926,11
56.71191167,-111.3251106,10,56.70650626,-111.3251147,16
56.71159315,-111.3245326,10,56.70618775,-111.3245368,21
56.71127464,-111.3239546,18,56.70586923,-111.323959,16
56.71095612,-111.3233767,3,56.70555071,-111.3233811,15
56.7106376,-111.3227987,19,56.7052322,-111.3228032,13
56.71031909,-111.3222208,2,56.70491368,-111.3222254,20
56.71000057,-111.3216429,15,56.70459516,-111.3216475,15
56.70968205,-111.321065,21,56.70427665,-111.3210697,7
56.70936354,-111.3204871,5,56.70395813,-111.3204919,20
56.70904502,-111.3199092,10,56.70363962,-111.3199141,16
56.7087265,-111.3193313,16,56.7033211,-111.3193363,2
56.70840799,-111.3187534,20,56.70300258,-111.3187585,11
56.70808947,-111.3181755,16,56.70268407,-111.3181807,16
56.70777095,-111.3175977,6,56.70236555,-111.3176029,12
56.70745244,-111.3170198,18,56.70204703,-111.3170251,20
56.70713392,-111.316442,14,56.70172852,-111.3164474,21
56.7068154,-111.3158641,15,56.70141,-111.3158696,2
56.70649689,-111.3152863,11,56.70109148,-111.3152919,7
56.70617837,-111.3147085,16,56.70077297,-111.3147142,20
56.71286722,-111.3256881,1,56.70746181,-111.3256922,11
56.7125487,-111.3251101,14,56.7071433,-111.3251143,0
56.71223019,-111.3245321,4,56.70682478,-111.3245363,16
56.71191167,-111.3239541,16,56.70650626,-111.3239585,12
56.71159315,-111.3233762,4,56.70618775,-111.3233806,4
56.71127464,-111.3227982,12,56.70586923,-111.3228027,5
56.71095612,-111.3222203,5,56.70555071,-111.3222248,18
56.7106376,-111.3216423,21,56.7052322,-111.321647,12
56.71031909,-111.3210644,3,56.70491368,-111.3210691,1
56.71000057,-111.3204865,10,56.70459516,-111.3204913,0
56.70968205,-111.3199086,20,56.70427665,-111.3199135,13
56.70936354,-111.3193307,1,56.70395813,-111.3193357,6
56.70904502,-111.3187528,1,56.70363962,-111.3187579,21
56.7087265,-111.3181749,9,56.7033211,-111.3181801,21
56.70840799,-111.317597,2,56.70300258,-111.3176023,15
56.70808947,-111.3170192,13,56.70268407,-111.3170245,20
56.70777095,-111.3164413,18,56.70236555,-111.3164467,13
56.70745244,-111.3158635,14,56.70204703,-111.315869,9
56.70713392,-111.3152857,8,56.70172852,-111.3152912,12
56.7068154,-111.3147079,7,56.70141,-111.3147135,5
56.70649689,-111.31413,0,56.70109148,-111.3141358,7
56.71318574,-111.3251096,16,56.70778033,-111.3251138,20
56.71286722,-111.3245316,8,56.70746181,-111.3245358,3
56.7125487,-111.3239536,16,56.7071433,-111.3239579,12
56.71223019,-111.3233757,9,56.70682478,-111.3233801,19
56.71191167,-111.3227977,3,56.70650626,-111.3228022,6
56.71159315,-111.3222197,7,56.70618775,-111.3222243,5
56.71127464,-111.3216418,3,56.70586923,-111.3216464,6
56.71095612,-111.3210638,8,56.70555071,-111.3210686,8
56.7106376,-111.3204859,20,56.7052322,-111.3204907,16
56.71031909,-111.319908,21,56.70491368,-111.3199129,3
56.71000057,-111.3193301,21,56.70459516,-111.3193351,11
56.70968205,-111.3187522,1,56.70427665,-111.3187573,6
56.70936354,-111.3181743,15,56.70395813,-111.3181795,9
56.70904502,-111.3175964,20,56.70363962,-111.3176017,1
56.7087265,-111.3170186,0,56.7033211,-111.3170239,3
56.70840799,-111.3164407,2,56.70300258,-111.3164461,15
56.70808947,-111.3158629,7,56.70268407,-111.3158683,15
56.70777095,-111.315285,11,56.70236555,-111.3152906,9
56.70745244,-111.3147072,14,56.70204703,-111.3147128,14
56.70713392,-111.3141294,7,56.70172852,-111.3141351,4
56.7068154,-111.3135516,21,56.70141,-111.3135574,19
56.71350425,-111.3245311,19,56.70809885,-111.3245353,10
56.71318574,-111.3239531,4,56.70778033,-111.3239574,21
56.71286722,-111.3233751,2,56.70746181,-111.3233795,0
56.7125487,-111.3227972,13,56.7071433,-111.3228016,19
56.71223019,-111.3222192,9,56.70682478,-111.3222238,16
56.71191167,-111.3216412,0,56.70650626,-111.3216459,18
56.71159315,-111.3210633,5,56.70618775,-111.321068,14
56.71127464,-111.3204854,11,56.70586923,-111.3204902,19
56.71095612,-111.3199074,20,56.70555071,-111.3199123,7
56.7106376,-111.3193295,14,56.7052322,-111.3193345,15
56.71031909,-111.3187516,20,56.70491368,-111.3187567,20
56.71000057,-111.3181737,6,56.70459516,-111.3181789,14
56.70968205,-111.3175958,5,56.70427665,-111.317601,17
56.70936354,-111.3170179,18,56.70395813,-111.3170233,17
56.70904502,-111.3164401,9,56.70363962,-111.3164455,7
56.7087265,-111.3158622,8,56.7033211,-111.3158677,7
56.70840799,-111.3152844,4,56.70300258,-111.3152899,20
56.70808947,-111.3147065,5,56.70268407,-111.3147122,10
56.70777095,-111.3141287,7,56.70236555,-111.3141344,17
56.70745244,-111.3135509,17,56.70204703,-111.3135567,11
56.70713392,-111.3129731,1,56.70172852,-111.312979,20
56.71382277,-111.3239526,16,56.70841736,-111.3239569,6
56.71350425,-111.3233746,16,56.70809885,-111.323379,6
56.71318574,-111.3227966,7,56.70778033,-111.3228011,13
56.71286722,-111.3222187,7,56.70746181,-111.3222232,1
56.7125487,-111.3216407,4,56.7071433,-111.3216453,21
56.71223019,-111.3210627,12,56.70682478,-111.3210675,5
56.71191167,-111.3204848,0,56.70650626,-111.3204896,13
56.71159315,-111.3199068,21,56.70618775,-111.3199117,11
56.71127464,-111.3193289,10,56.70586923,-111.3193339,14
56.71095612,-111.318751,15,56.70555071,-111.3187561,14
56.7106376,-111.3181731,16,56.7052322,-111.3181782,13
56.71031909,-111.3175952,4,56.70491368,-111.3176004,19
56.71000057,-111.3170173,19,56.70459516,-111.3170226,1
56.70968205,-111.3164394,8,56.70427665,-111.3164448,15
56.70936354,-111.3158616,10,56.70395813,-111.315867,19
56.70904502,-111.3152837,7,56.70363962,-111.3152893,17
56.7087265,-111.3147059,8,56.7033211,-111.3147115,14
56.70840799,-111.314128,3,56.70300258,-111.3141337,12
56.70808947,-111.3135502,0,56.70268407,-111.313556,12
56.70777095,-111.3129724,20,56.70236555,-111.3129783,12
56.70745244,-111.3123946,16,56.70204703,-111.3124005,20
56.71414129,-111.3233741,3,56.70873588,-111.3233785,0
56.71382277,-111.3227961,16,56.70841736,-111.3228006,19
56.71350425,-111.3222181,14,56.70809885,-111.3222227,14
56.71318574,-111.3216401,5,56.70778033,-111.3216448,1
56.71286722,-111.3210622,18,56.70746181,-111.3210669,10
56.7125487,-111.3204842,13,56.7071433,-111.320489,5
56.71223019,-111.3199063,14,56.70682478,-111.3199112,21
56.71191167,-111.3193283,21,56.70650626,-111.3193333,20
56.71159315,-111.3187504,18,56.70618775,-111.3187555,12
56.71127464,-111.3181725,6,56.70586923,-111.3181776,10
56.71095612,-111.3175946,1,56.70555071,-111.3175998,6
56.7106376,-111.3170167,8,56.7052322,-111.317022,13
56.71031909,-111.3164388,5,56.70491368,-111.3164442,19
56.71000057,-111.3158609,1,56.70459516,-111.3158664,8
56.70968205,-111.315283,4,56.70427665,-111.3152886,0
56.70936354,-111.3147052,12,56.70395813,-111.3147108,16
56.70904502,-111.3141273,6,56.70363962,-111.3141331,18
56.7087265,-111.3135495,11,56.7033211,-111.3135553,1
56.70840799,-111.3129717,7,56.70300258,-111.3129776,11
56.70808947,-111.3123939,0,56.70268407,-111.3123998,6
56.70777095,-111.311816,0,56.70236555,-111.3118221,21
56.7144598,-111.3227956,10,56.7090544,-111.3228001,1
56.71414129,-111.3222176,9,56.70873588,-111.3222221,14
56.71382277,-111.3216396,21,56.70841736,-111.3216442,20
56.71350425,-111.3210616,8,56.70809885,-111.3210663,5
56.71318574,-111.3204836,10,56.70778033,-111.3204885,16
56.71286722,-111.3199057,10,56.70746181,-111.3199106,8
56.7125487,-111.3193277,13,56.7071433,-111.3193327,4
56.71223019,-111.3187498,21,56.70682478,-111.3187549,13
56.71191167,-111.3181719,3,56.70650626,-111.318177,3
56.71159315,-111.317594,14,56.70618775,-111.3175992,11
56.71127464,-111.3170161,14,56.70586923,-111.3170214,0
56.71095612,-111.3164382,7,56.70555071,-111.3164436,1
56.7106376,-111.3158603,18,56.7052322,-111.3158658,19
56.71031909,-111.3152824,17,56.70491368,-111.315288,11
56.71000057,-111.3147045,2,56.70459516,-111.3147102,8
56.70968205,-111.3141267,18,56.70427665,-111.3141324,19
56.70936354,-111.3135488,20,56.70395813,-111.3135546,19
56.70904502,-111.312971,14,56.70363962,-111.3129769,3
56.7087265,-111.3123932,2,56.7033211,-111.3123991,2
56.70840799,-111.3118153,10,56.70300258,-111.3118214,16
56.70808947,-111.3112375,9,56.70268407,-111.3112437,11
56.71477832,-111.322217,2,56.70937291,-111.3222216,12
56.7144598,-111.321639,21,56.7090544,-111.3216437,17
56.71414129,-111.3210611,3,56.70873588,-111.3210658,18
56.71382277,-111.3204831,13,56.70841736,-111.3204879,21
56.71350425,-111.3199051,20,56.70809885,-111.31991,17
56.71318574,-111.3193272,3,56.70778033,-111.3193321,14
56.71286722,-111.3187492,21,56.70746181,-111.3187543,1
56.7125487,-111.3181713,0,56.7071433,-111.3181764,13
56.71223019,-111.3175933,2,56.70682478,-111.3175986,4
56.71191167,-111.3170154,16,56.70650626,-111.3170207,5
56.71159315,-111.3164375,13,56.70618775,-111.3164429,13
56.71127464,-111.3158596,2,56.70586923,-111.3158651,21
56.71095612,-111.3152817,7,56.70555071,-111.3152873,16
